"OptionSet","Exploit","Filter","All","D2 0.17  ","D2 0.33  ","D2 0.5  ","D2 0.67  ","D2 0.83  "
"shootouthighcosts","0.0012064325842105813","DSignal Liab 2 Dam 2",0.1418,0.236967,0.331754,0.42654,0,0.00473934
"shootouthighcosts","0.0012064325842105813","DSignal Liab 2 Dam 3",0.1888,0.0427046,0.380783,0.540925,0.0177936,0.0177936
"shootouthighcosts","0.0012064325842105813","DSignal Liab 2 Dam 4",0.0853,0.0944882,0.015748,0.724409,0.023622,0.141732
"shootouthighcosts","0.0012064325842105813","DSignal Liab 2 Dam 5",0.0108,0.3125,0,0,0.0625,0.625
"shootouthighcosts","0.0012064325842105813","DSignal Liab 3 Dam 1",0.2379,0.0367232,0.316384,0.590395,0.0564972,0
"shootouthighcosts","0.0012064325842105813","DSignal Liab 3 Dam 2",0.1263,0,0.148936,0.75,0.0638298,0.037234
"shootouthighcosts","0.0012064325842105813","DSignal Liab 3 Dam 3",0.002,0,0.333333,0.333333,0,0.333333
"shootouthighcosts","0.0012064325842105813","DSignal Liab 3 Dam 4",0,,,,,
"shootouthighcosts","0.0012064325842105813","DSignal Liab 3 Dam 5",0,,,,,
"shootouthighcosts","0.0012064325842105813","DSignal Liab 4 Dam 1",0.0027,0,0,0.5,0.5,0
"shootouthighcosts","0.0012064325842105813","DSignal Liab 4 Dam 2",0,,,,,
"shootouthighcosts","0.0012064325842105813","DSignal Liab 4 Dam 3",0,,,,,
"shootouthighcosts","0.0012064325842105813","DSignal Liab 4 Dam 4",0,,,,,
"shootouthighcosts","0.0012064325842105813","DSignal Liab 4 Dam 5",0,,,,,
"shootouthighcosts","0.0012064325842105813","DSignal Liab 5 Dam 1",0,,,,,
"shootouthighcosts","0.0012064325842105813","DSignal Liab 5 Dam 2",0,,,,,
"shootouthighcosts","0.0012064325842105813","DSignal Liab 5 Dam 3",0,,,,,
"shootouthighcosts","0.0012064325842105813","DSignal Liab 5 Dam 4",0,,,,,
"shootouthighcosts","0.0012064325842105813","DSignal Liab 5 Dam 5",0,,,,,
"soallroundshighcosts","0.0010150671057617044","All",1,0.223598,0.250978,0.481095,0.0345502,0.00977836
"soallroundshighcosts","0.0010150671057617044","DSignal Liab 1 Dam 1",0.0065,1,0,0,0,0
"soallroundshighcosts","0.0010150671057617044","DSignal Liab 1 Dam 2",0.0189,1,0,0,0,0
"soallroundshighcosts","0.0010150671057617044","DSignal Liab 1 Dam 3",0.0319,1,0,0,0,0
"soallroundshighcosts","0.0010150671057617044","DSignal Liab 1 Dam 4",0.0385,1,0,0,0,0
"soallroundshighcosts","0.0010150671057617044","DSignal Liab 1 Dam 5",0.0489,1,0,0,0,0
